LapNumber,LapTime,Compound,Stint,TyreLife,LapTimeSeconds,Year,Round,Driver,Session,StintLength,CorrectedTime,DegradationDelta,FreshTireBenchmark,HealthScore
37.0,0 days 00:01:28.910000,HARD,2.0,21.0,88.91,2023,22,VER,R,27.0,88.38499999999999,1.1829999999999927,87.202,52.68000000000029
38.0,0 days 00:01:29.073000,HARD,2.0,22.0,89.073,2023,22,VER,R,27.0,88.6355,1.4334999999999951,87.202,42.660000000000196
39.0,0 days 00:01:28.849000,HARD,2.0,23.0,88.849,2023,22,VER,R,27.0,88.49900000000001,1.2970000000000113,87.202,48.11999999999955
40.0,0 days 00:01:29.053000,HARD,2.0,24.0,89.053,2023,22,VER,R,27.0,88.7905,1.5884999999999962,87.202,36.46000000000015
41.0,0 days 00:01:29.003000,HARD,2.0,25.0,89.003,2023,22,VER,R,27.0,88.828,1.6260000000000048,87.202,34.959999999999816
42.0,0 days 00:01:29.082000,HARD,2.0,26.0,89.082,2023,22,VER,R,27.0,88.99449999999999,1.7924999999999898,87.202,28.300000000000413
43.0,0 days 00:01:31.391000,HARD,2.0,27.0,91.391,2023,22,VER,R,27.0,91.391,4.189000000000007,87.202,0.0
44.0,0 days 00:01:48.170000,HARD,3.0,1.0,108.17,2023,22,VER,R,15.0,106.94500000000001,21.089500000000015,85.85549999999999,0.0
45.0,0 days 00:01:26.993000,HARD,3.0,2.0,86.993,2023,22,VER,R,15.0,85.85549999999999,0.0,85.85549999999999,100.0
46.0,0 days 00:01:27.902000,HARD,3.0,3.0,87.902,2023,22,VER,R,15.0,86.852,0.9965000000000117,85.85549999999999,60.139999999999525
47.0,0 days 00:01:27.962000,HARD,3.0,4.0,87.962,2023,22,VER,R,15.0,86.9995,1.1440000000000055,85.85549999999999,54.239999999999775
48.0,0 days 00:01:27.968000,HARD,3.0,5.0,87.968,2023,22,VER,R,15.0,87.093,1.2375000000000114,85.85549999999999,50.499999999999545
49.0,0 days 00:01:27.901000,HARD,3.0,6.0,87.901,2023,22,VER,R,15.0,87.1135,1.2580000000000098,85.85549999999999,49.679999999999616
50.0,0 days 00:01:28.040000,HARD,3.0,7.0,88.04,2023,22,VER,R,15.0,87.34,1.4845000000000113,85.85549999999999,40.61999999999954
51.0,0 days 00:01:27.849000,HARD,3.0,8.0,87.849,2023,22,VER,R,15.0,87.2365,1.3810000000000144,85.85549999999999,44.75999999999942
52.0,0 days 00:01:27.851000,HARD,3.0,9.0,87.851,2023,22,VER,R,15.0,87.326,1.4705000000000013,85.85549999999999,41.17999999999995
53.0,0 days 00:01:27.683000,HARD,3.0,10.0,87.683,2023,22,VER,R,15.0,87.2455,1.3900000000000148,85.85549999999999,44.39999999999941
54.0,0 days 00:01:27.513000,HARD,3.0,11.0,87.513,2023,22,VER,R,15.0,87.16300000000001,1.3075000000000188,85.85549999999999,47.69999999999926
55.0,0 days 00:01:27.930000,HARD,3.0,12.0,87.93,2023,22,VER,R,15.0,87.6675,1.8120000000000118,85.85549999999999,27.519999999999524
56.0,0 days 00:01:27.727000,HARD,3.0,13.0,87.727,2023,22,VER,R,15.0,87.552,1.6965000000000146,85.85549999999999,32.13999999999941
57.0,0 days 00:01:27.980000,HARD,3.0,14.0,87.98,2023,22,VER,R,15.0,87.8925,2.037000000000006,85.85549999999999,18.519999999999758
58.0,0 days 00:01:28.545000,HARD,3.0,15.0,88.545,2023,22,VER,R,15.0,88.545,2.6895000000000095,85.85549999999999,0.0
